

"","PD04638PD"
"","Tipo de cambio - TC Interbancario (S/ por US$) - Venta"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,3.734
04Ene24,3.73683333333333
05Ene24,3.71883333333333
08Ene24,3.71216666666667
09Ene24,3.7065
10Ene24,3.7025
11Ene24,3.7005
12Ene24,3.6945
15Ene24,3.698
16Ene24,3.71783333333333
17Ene24,3.74016666666667
18Ene24,3.74133333333333
19Ene24,3.74183333333333
22Ene24,3.741
23Ene24,3.757
24Ene24,3.76033333333333
25Ene24,3.76316666666667
26Ene24,3.786
29Ene24,3.807
30Ene24,3.81083333333333
31Ene24,3.80583333333333
01Feb24,3.80616666666667
02Feb24,3.833
05Feb24,3.85683333333333
06Feb24,3.85716666666667
07Feb24,3.86583333333333
08Feb24,3.85366666666667
09Feb24,3.86633333333333
12Feb24,3.86333333333333
13Feb24,3.884
14Feb24,3.874
15Feb24,3.86233333333333
16Feb24,3.82966666666667
19Feb24,3.79933333333333
20Feb24,3.784
21Feb24,3.79583333333333
22Feb24,3.8
23Feb24,3.7955
26Feb24,3.79816666666667
27Feb24,3.78883333333333
28Feb24,3.79416666666667
29Feb24,3.78116666666667
01Mar24,3.77016666666667
04Mar24,3.766
05Mar24,3.76383333333333
06Mar24,3.731
07Mar24,3.72033333333333
08Mar24,3.68966666666667
11Mar24,3.68783333333333
12Mar24,3.69183333333333
13Mar24,3.667
14Mar24,3.67833333333333
15Mar24,3.68916666666667
18Mar24,3.69883333333333
19Mar24,3.70433333333333
20Mar24,3.69516666666667
21Mar24,3.69466666666667
22Mar24,3.694
25Mar24,3.70533333333333
26Mar24,3.72383333333333
27Mar24,3.718
28Mar24,n.d.
29Mar24,n.d.
01Abr24,3.72966666666667
02Abr24,3.70966666666667
03Abr24,3.68966666666667
04Abr24,3.678
05Abr24,3.68666666666667
08Abr24,3.67683333333333
09Abr24,3.69216666666667
10Abr24,3.70983333333333
11Abr24,3.7055
12Abr24,3.70283333333333
15Abr24,3.72583333333333
16Abr24,3.75616666666667
17Abr24,3.7445
18Abr24,3.7375
19Abr24,3.69966666666667
22Abr24,3.6945
23Abr24,3.70166666666667
24Abr24,3.72483333333333
25Abr24,3.74766666666667
26Abr24,3.752666667
29Abr24,3.72983333333333
30Abr24,3.754
01May24,n.d.
02May24,3.74833333333333
03May24,3.71883333333333
06May24,3.7255
07May24,3.72683333333333
08May24,3.72216666666667
09May24,3.70583333333333
10May24,3.70716666666667
13May24,3.72033333333333
14May24,3.7245
15May24,3.71783333333333
16May24,3.72783333333333
17May24,3.74033333333333
20May24,3.73566666666667
21May24,3.73216666666667
22May24,3.7415
23May24,3.74233333333333
24May24,3.73766666666667
27May24,3.74283333333333
28May24,3.74716666666667
29May24,3.75983333333333
30May24,3.75983333333333
31May24,3.73533333333333
03Jun24,3.73083333333333
04Jun24,3.7405
05Jun24,3.74633333333333
06Jun24,3.753
07Jun24,n.d.
10Jun24,3.78
11Jun24,3.78383333333333
12Jun24,3.77166666666667
13Jun24,3.77316666666667
14Jun24,3.774
17Jun24,3.7925
18Jun24,3.79016666666667
19Jun24,3.81816666666667
20Jun24,3.8095
21Jun24,3.80233333333333
24Jun24,3.8025
25Jun24,3.81383333333333
26Jun24,3.82283333333333
27Jun24,3.82383333333333
28Jun24,3.836
01Jul24,3.84583333333333
02Jul24,3.8275
03Jul24,3.79966666666667
04Jul24,3.79483333333333
05Jul24,3.79466666666667
08Jul24,3.79
09Jul24,3.78383333333333
10Jul24,3.78033333333333
11Jul24,3.76683333333333
12Jul24,3.73233333333333
15Jul24,3.72816666666667
16Jul24,3.71633333333333
17Jul24,3.7215
18Jul24,3.7365
19Jul24,3.74516666666667
22Jul24,3.75516666666667
23Jul24,n.d.
24Jul24,3.7755
25Jul24,3.76083333333333
26Jul24,n.d.
29Jul24,n.d.
30Jul24,3.73483333333333
31Jul24,3.7195
01Ago24,3.738
02Ago24,3.74316666666667
05Ago24,3.74583333333333
06Ago24,n.d.
07Ago24,3.73416666666667
08Ago24,3.7295
09Ago24,3.73066666666667
12Ago24,3.74433333333333
13Ago24,3.74766666666667
14Ago24,3.73816666666667
15Ago24,3.73716666666667
16Ago24,3.7425
19Ago24,3.73483333333333
20Ago24,3.7465
21Ago24,3.74433333333333
22Ago24,3.759
23Ago24,3.746
26Ago24,3.752
27Ago24,3.74333333333333
28Ago24,3.73933333333333
29Ago24,3.74766666666667
30Ago24,n.d.
02Set24,3.765
03Set24,3.78366666666667
04Set24,3.79666666666667
05Set24,3.79483333333333
06Set24,3.79666666666667
09Set24,3.81183333333333
10Set24,3.8185
11Set24,3.788
12Set24,3.76883333333333
13Set24,3.7695
16Set24,3.78366666666667
17Set24,3.7735
18Set24,3.75883333333333
19Set24,3.74783333333333
20Set24,3.75183333333333
23Set24,3.77016666666667
24Set24,3.76416666666667
25Set24,3.76233333333333
26Set24,3.73083333333333
27Set24,3.7155
30Set24,3.70816666666667
01Oct24,3.71816666666667
02Oct24,3.718
03Oct24,3.72866666666667
04Oct24,3.73233333333333
07Oct24,3.74083333333333
08Oct24,n.d.
09Oct24,3.75866666666667
10Oct24,3.7685
11Oct24,3.756
14Oct24,3.75816666666667
15Oct24,3.77
16Oct24,3.77166666666667
17Oct24,3.76633333333333
18Oct24,3.754
21Oct24,3.76533333333333
22Oct24,3.7555
23Oct24,3.75416666666667
24Oct24,3.75366666666667
25Oct24,3.7605
28Oct24,3.771
