

"","PD04692MD"
"","Tasas de interés - Interbancaria, S/"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,6.75
04Ene24,6.75
05Ene24,6.75
08Ene24,6.75
09Ene24,6.75
10Ene24,6.75
11Ene24,6.75
12Ene24,6.5
15Ene24,6.5
16Ene24,6.5
17Ene24,6.5
18Ene24,6.5
19Ene24,6.5
22Ene24,6.5
23Ene24,6.5
24Ene24,6.5
25Ene24,6.5
26Ene24,6.5
29Ene24,6.5
30Ene24,6.5
31Ene24,6.52
01Feb24,6.5
02Feb24,6.5
05Feb24,6.5
06Feb24,6.5
07Feb24,6.5
08Feb24,6.5
09Feb24,6.25
12Feb24,6.25
13Feb24,6.25
14Feb24,6.25
15Feb24,6.25
16Feb24,6.25
19Feb24,6.25
20Feb24,6.25
21Feb24,6.25
22Feb24,6.25
23Feb24,6.25
26Feb24,6.25
27Feb24,6.25
28Feb24,6.25
29Feb24,6.25
01Mar24,6.25
04Mar24,6.25
05Mar24,6.25
06Mar24,6.25
07Mar24,6.25
08Mar24,6.25
11Mar24,6.25
12Mar24,6.25
13Mar24,6.25
14Mar24,6.25
15Mar24,6.25
18Mar24,6.07
19Mar24,6.25
20Mar24,6.25
21Mar24,6.25
22Mar24,6.25
25Mar24,6.25
26Mar24,6.25
27Mar24,6.25
28Mar24,n.d.
29Mar24,n.d.
01Abr24,6.25
02Abr24,6.25
03Abr24,6.25
04Abr24,6.25
05Abr24,6.25
08Abr24,6.25
09Abr24,6.25
10Abr24,6.25
11Abr24,6.25
12Abr24,6
15Abr24,6
16Abr24,6
17Abr24,6
18Abr24,6
19Abr24,6
22Abr24,6
23Abr24,6
24Abr24,6
25Abr24,6
26Abr24,6
29Abr24,6
30Abr24,6
01May24,n.d.
02May24,6
03May24,6
06May24,6
07May24,6
08May24,6
09May24,6
10May24,5.75
13May24,5.75
14May24,5.75
15May24,5.75
16May24,5.75
17May24,5.75
20May24,5.75
21May24,5.75
22May24,5.75
23May24,5.75
24May24,5.75
27May24,5.75
28May24,5.75
29May24,5.75
30May24,5.75
31May24,5.75
03Jun24,5.75
04Jun24,5.75
05Jun24,5.75
06Jun24,5.74
07Jun24,n.d.
10Jun24,5.75
11Jun24,5.75
12Jun24,5.75
13Jun24,5.72
14Jun24,5.75
17Jun24,5.75
18Jun24,5.75
19Jun24,5.75
20Jun24,5.75
21Jun24,5.75
24Jun24,5.75
25Jun24,5.75
26Jun24,5.75
27Jun24,5.75
28Jun24,5.75
01Jul24,5.75
02Jul24,5.75
03Jul24,5.75
04Jul24,5.75
05Jul24,5.75
08Jul24,5.75
09Jul24,5.75
10Jul24,5.75
11Jul24,5.75
12Jul24,5.75
15Jul24,5.75
16Jul24,5.75
17Jul24,5.75
18Jul24,5.7
19Jul24,5.75
22Jul24,5.74
23Jul24,n.d.
24Jul24,5.59
25Jul24,5.75
26Jul24,n.d.
29Jul24,n.d.
30Jul24,5.75
31Jul24,5.75
01Ago24,5.75
02Ago24,5.75
05Ago24,5.75
06Ago24,n.d.
07Ago24,5.75
08Ago24,5.75
09Ago24,5.5
12Ago24,5.5
13Ago24,5.5
14Ago24,5.5
15Ago24,5.5
16Ago24,5.5
19Ago24,5.5
20Ago24,5.5
21Ago24,5.5
22Ago24,5.37
23Ago24,5.5
26Ago24,5.5
27Ago24,5.5
28Ago24,5.44
29Ago24,5.5
30Ago24,n.d.
02Set24,5.5
03Set24,5.5
04Set24,5.5
05Set24,5.5
06Set24,5.49
09Set24,5.48
10Set24,5.4
11Set24,5.5
12Set24,5.35
13Set24,5.25
16Set24,5.25
17Set24,5.25
18Set24,5.25
19Set24,5.25
20Set24,5.25
23Set24,5.25
24Set24,5.25
25Set24,5.25
26Set24,5.25
27Set24,5.25
30Set24,5.25
01Oct24,5.25
02Oct24,5.25
03Oct24,5.25
04Oct24,5.25
07Oct24,5.25
08Oct24,n.d.
09Oct24,5.25
10Oct24,5.25
11Oct24,5.25
14Oct24,5.25
15Oct24,5.25
16Oct24,5.25
17Oct24,5.25
18Oct24,5.25
21Oct24,5.25
22Oct24,5.25
23Oct24,5.25
24Oct24,5.25
25Oct24,5.25
28Oct24,5.2
