

"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,25558.39
04Ene24,25679.61
05Ene24,25709.68
08Ene24,25765.51
09Ene24,25805.53
10Ene24,25849.27
11Ene24,25826.06
12Ene24,26075.88
15Ene24,25994.74
16Ene24,26172.61
17Ene24,26058.62
18Ene24,26155.86
19Ene24,26287.5
22Ene24,26301.17
23Ene24,26492.27
24Ene24,26364.76
25Ene24,26455.88
26Ene24,26841.6
29Ene24,27145.31
30Ene24,26916.45
31Ene24,26934.02
01Feb24,27062.79
02Feb24,27058.13
05Feb24,27005.29
06Feb24,27311.79
07Feb24,27230.74
08Feb24,27282.52
09Feb24,27348.12
12Feb24,27655.75
13Feb24,27462.02
14Feb24,27897.73
15Feb24,28340.32
16Feb24,28348.77
19Feb24,28317.57
20Feb24,28276.95
21Feb24,28379.81
22Feb24,28463.53
23Feb24,28611.84
26Feb24,28610.15
27Feb24,28532.99
28Feb24,28053.23
29Feb24,28231.83
01Mar24,28330.63
04Mar24,28637.57
05Mar24,28685.15
06Mar24,28630.38
07Mar24,28919.99
08Mar24,28722.67
11Mar24,28927.25
12Mar24,28822.76
13Mar24,29053.03
14Mar24,29189.63
15Mar24,29509.68
18Mar24,29647.11
19Mar24,29293.67
20Mar24,29727.98
21Mar24,29648.56
22Mar24,29647.5
25Mar24,29518.9
26Mar24,28786.7
27Mar24,28366.99
28Mar24,n.d.
29Mar24,n.d.
01Abr24,28273.49
02Abr24,28136.64
03Abr24,28371.28
04Abr24,28164.74
05Abr24,27479.22
08Abr24,27371.18
09Abr24,27551.05
10Abr24,27799.43
11Abr24,27948.39
12Abr24,27595.69
15Abr24,27455.16
16Abr24,27393.84
17Abr24,27458.98
18Abr24,27685.83
19Abr24,27599.14
22Abr24,27752.6
23Abr24,27902.35
24Abr24,28122.71
25Abr24,28602.16
26Abr24,28902.05
29Abr24,29223.88
30Abr24,29184.35
01May24,n.d.
02May24,29040.99
03May24,28983.54
06May24,29275.07
07May24,29174.08
08May24,29356.06
09May24,29599.32
10May24,30023.58
13May24,29658.9
14May24,29846.87
15May24,29996.58
16May24,29967.09
17May24,30129.92
20May24,30708.18
21May24,30891.77
22May24,30072.09
23May24,30026.79
24May24,30262.97
27May24,30368.62
28May24,30742.03
29May24,30488.76
30May24,30405.87
31May24,30220.4
03Jun24,30049.29
04Jun24,29511.42
05Jun24,29741.49
06Jun24,29826.14
07Jun24,n.d.
10Jun24,29538.35
11Jun24,29372.51
12Jun24,29673.79
13Jun24,29325.51
14Jun24,29199.68
17Jun24,29431.94
18Jun24,29798.46
19Jun24,29724.14
20Jun24,29857.57
21Jun24,22521.03
24Jun24,30058.66
25Jun24,29895.85
26Jun24,29848.81
27Jun24,29636.1
28Jun24,29895.87
01Jul24,29720.12
02Jul24,29600.98
03Jul24,30046.02
04Jul24,30044.07
05Jul24,30094.8
08Jul24,29797.83
09Jul24,30156.93
10Jul24,30204.6
11Jul24,30295.4
12Jul24,30132.84
15Jul24,30063.58
16Jul24,29864.35
17Jul24,29825.9
18Jul24,29593.39
19Jul24,29667.09
22Jul24,29697.31
23Jul24,n.d.
24Jul24,29461.78
25Jul24,29538.96
26Jul24,n.d.
29Jul24,n.d.
30Jul24,29367.1
31Jul24,29537.12
01Ago24,29037.97
02Ago24,28518.56
05Ago24,27989.42
06Ago24,n.d.
07Ago24,28239.08
08Ago24,28536.39
09Ago24,28633.29
12Ago24,28615.52
13Ago24,28459.29
14Ago24,28539.97
15Ago24,28952.53
16Ago24,28657.15
19Ago24,28690.01
20Ago24,28548.06
21Ago24,28482.94
22Ago24,28371.18
23Ago24,28428.88
26Ago24,28387.16
27Ago24,28246.22
28Ago24,28319.92
29Ago24,28441.73
30Ago24,n.d.
02Set24,28721.12
03Set24,28082.01
04Set24,28025.67
05Set24,28304.05
06Set24,28065.04
09Set24,28282.7
10Set24,28007.11
11Set24,28191.17
12Set24,28540.12
13Set24,28951.13
16Set24,28869.05
17Set24,28696.64
18Set24,29093.8
19Set24,29213.76
20Set24,29306.69
23Set24,29356.94
24Set24,29807.95
25Set24,29612.21
26Set24,30159.5
27Set24,30282.41
30Set24,29942.23
01Oct24,30130.72
02Oct24,30156.85
03Oct24,30051.74
04Oct24,30329.47
07Oct24,30245.54
08Oct24,n.d.
09Oct24,29814.33
10Oct24,30277.16
11Oct24,30453.98
14Oct24,30591.11
15Oct24,30230.31
16Oct24,30458.91
17Oct24,30541.1
18Oct24,30767.13
21Oct24,30673.72
22Oct24,30718.96
23Oct24,30722.89
24Oct24,30846.61
25Oct24,30960.01
28Oct24,30965.61
