

"","PD31894DD"
"","Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en US$)"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,5.297
04Ene24,5.377
05Ene24,5.394
08Ene24,5.386
09Ene24,5.433
10Ene24,5.396
11Ene24,5.323
12Ene24,5.273
15Ene24,5.273
16Ene24,5.38
17Ene24,5.484
18Ene24,5.535
19Ene24,5.543
22Ene24,5.511
23Ene24,5.596
24Ene24,5.603
25Ene24,5.538
26Ene24,5.507
29Ene24,5.397
30Ene24,5.309
31Ene24,5.197
01Feb24,5.14
02Feb24,5.307
05Feb24,5.514
06Feb24,5.471
07Feb24,5.45
08Feb24,5.518
09Feb24,5.543
12Feb24,5.54
13Feb24,5.658
14Feb24,5.595
15Feb24,5.536
16Feb24,5.586
19Feb24,5.586
20Feb24,5.604
21Feb24,5.648
22Feb24,5.607
23Feb24,5.55
26Feb24,5.557
27Feb24,5.586
28Feb24,5.595
29Feb24,5.554
01Mar24,5.524
04Mar24,5.558
05Mar24,5.49
06Mar24,5.414
07Mar24,5.423
08Mar24,5.428
11Mar24,5.448
12Mar24,5.464
13Mar24,5.462
14Mar24,5.561
15Mar24,5.599
18Mar24,5.621
19Mar24,5.612
20Mar24,5.559
21Mar24,5.503
22Mar24,5.461
25Mar24,5.495
26Mar24,5.517
27Mar24,5.48
28Mar24,n.d.
29Mar24,n.d.
01Abr24,5.576
02Abr24,5.67
03Abr24,5.669
04Abr24,5.609
05Abr24,5.663
08Abr24,5.663
09Abr24,5.566
10Abr24,5.745
11Abr24,5.83
12Abr24,5.815
15Abr24,5.96
16Abr24,6.031
17Abr24,5.972
18Abr24,6.017
19Abr24,5.987
22Abr24,5.993
23Abr24,5.957
24Abr24,6.013
25Abr24,6.084
26Abr24,6.042
29Abr24,5.958
30Abr24,6.046
01May24,n.d.
02May24,5.91
03May24,5.771
06May24,5.741
07May24,5.687
08May24,5.754
09May24,5.721
10May24,5.779
13May24,5.758
14May24,5.729
15May24,5.598
16May24,5.621
17May24,5.683
20May24,5.672
21May24,5.654
22May24,5.721
23May24,5.808
24May24,5.817
27May24,5.817
28May24,5.881
29May24,5.963
30May24,5.86
31May24,5.791
03Jun24,5.705
04Jun24,5.648
05Jun24,5.592
06Jun24,5.617
07Jun24,n.d.
10Jun24,5.799
11Jun24,5.774
12Jun24,5.668
13Jun24,5.628
14Jun24,5.637
17Jun24,5.709
18Jun24,5.584
19Jun24,5.546
20Jun24,5.602
21Jun24,5.588
24Jun24,5.554
25Jun24,5.532
26Jun24,5.6
27Jun24,5.572
28Jun24,5.64
01Jul24,5.792
02Jul24,5.739
03Jul24,5.652
04Jul24,5.652
05Jul24,5.568
08Jul24,5.551
09Jul24,5.593
10Jul24,5.566
11Jul24,5.436
12Jul24,5.415
15Jul24,5.477
16Jul24,5.439
17Jul24,5.441
18Jul24,5.503
19Jul24,5.558
22Jul24,5.553
23Jul24,n.d.
24Jul24,5.565
25Jul24,5.527
26Jul24,n.d.
29Jul24,n.d.
30Jul24,5.449
31Jul24,5.392
01Ago24,5.404
02Ago24,5.302
05Ago24,5.353
06Ago24,n.d.
07Ago24,5.365
08Ago24,5.386
09Ago24,5.303
12Ago24,n.d.
13Ago24,n.d.
14Ago24,n.d.
15Ago24,n.d.
16Ago24,5.133
19Ago24,5.108
20Ago24,5.041
21Ago24,5.015
22Ago24,5.087
23Ago24,5.031
26Ago24,5.019
27Ago24,5.039
28Ago24,5.064
29Ago24,5.09
30Ago24,n.d.
02Set24,5.09
03Set24,5.153
04Set24,5.124
05Set24,5.088
06Set24,5.081
09Set24,5.059
10Set24,5.036
11Set24,5.021
12Set24,5.027
13Set24,4.989
16Set24,4.92
17Set24,4.928
18Set24,4.954
19Set24,4.934
20Set24,5.004
23Set24,5.03
24Set24,5.024
25Set24,5.021
26Set24,5.015
27Set24,4.981
30Set24,4.981
01Oct24,4.946
02Oct24,4.971
03Oct24,5.032
04Oct24,5.173
07Oct24,5.272
08Oct24,n.d.
09Oct24,5.358
10Oct24,5.4
11Oct24,5.416
14Oct24,5.416
15Oct24,5.346
16Oct24,5.285
17Oct24,5.364
18Oct24,5.324
21Oct24,5.472
22Oct24,5.525
23Oct24,5.592
24Oct24,5.51
25Oct24,5.511
